"Tên hàng hóa, dịch vụ",Đơn giá,Matched_SP,Score
"Chai xịt giúp làm sạch, dưỡng ẩm, làm trắng da và cải thiện da xỉn màu LANBENA EXFOLIATING PEEL SPRAY",0,lanbena,100
"Chai xịt giúp làm sạch, dưỡng ẩm, làm trắng da và cải thiện da xỉn màu LANBENA EXFOLIATING PEEL SPRAY",131.806,lanbena,100
"Chai xịt giúp làm sạch, dưỡng ẩm, làm trắng da và cải thiện da xỉn màu LANBENA EXFOLIATING PEEL SPRAY (hàng tặng không xuất hóa đơn)",0,lanbena,100
Cà phê Blend 4S,125,Cà phê Blend 4S,100
Cà phê Blend 4S,115,Cà phê Blend 4S,100
Dung dịch vệ sinh tai RAY-C,40,RAY-C VỆ SINH TAI,100
Durex - Bao cao su Invisible Extra Thin/Sens 10S,194.462,DUREX INVISIBLE EXTRA THIN EXTRA,100
Durex - Bao cao su Invisible Extra Thin/Sens 3S,75.29,DUREX INVISIBLE EXTRA THIN EXTRA,100
Durex - Bao cao su Invisible Extra Thin/Sens 3S,70.487,DUREX INVISIBLE EXTRA THIN EXTRA,100
Durex - Bao cao su Kingtex 3S (New),33.072,DUREX KINGTEX,100
Durex Bao cao su Kingtex 12S (New),110.58,DUREX KINGTEX,100
Dâu Cozy,36.288,TRà Cozy Hương dâu 25 túi,100
Dâu Cozy,0,TRà Cozy Hương dâu 25 túi,100
Dâu Cozy,32.4,TRà Cozy Hương dâu 25 túi,100
FRESH UP 500,31.759,Sủi Fresh up 500 (keiko0,100
FRESH UP 500,"29.722,2",Sủi Fresh up 500 (keiko0,100
FRESH UP 500,"31.759,3",Sủi Fresh up 500 (keiko0,100
FRESH UP 500,"29.722,5",Sủi Fresh up 500 (keiko0,100
Gastro Gold,64.352,Sủi gastro gold,100
Gastro Gold,69.444,Sủi gastro gold,100
Gia vị kho cá gói 50g x 120 gói/thùng,"5.555,56",Gia vị kho cá 50g,100
Gia vị kho cá gói 50g x 120 gói/thùng,"4.816,67",Gia vị kho cá 50g,100
Gia vị kho cá gói 50g x 120 gói/thùng,"5.092,59",Gia vị kho cá 50g,100
Gum MT PF Bạc Hà 12 Hộp x 6Hũ (61.25g),"20.833,33",Gum MT PF Bạc Hà 12 Hộp x 6Hũ (61.25g),100
Gối tựa cổ cao su non GT1,58,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GT1,53,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GT2,53,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GU1-4C,53,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GU2,53,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GU3,58,Gối tựa cổ cao su non,100
Gối tựa cổ cao su non GU3,53,Gối tựa cổ cao su non,100
Hoa anh Thảo,"122.222,22",Tinh Dầu Hoa Anh Thảo Enantcanada Hộp 30 Viên Aviphar Pharma,100
Hộp chè 11,50,Hộp Chè 11,100
Hộp chè 13,55,Hộp Chè 13,100
Hộp cà phê Nonla 8 viên,"109.259,26",hộp cà phê vị sầu riêng Nonla 8 viên,100
Hộp cà phê vị sầu riêng Nonla 8 viên,"109.259,26",hộp cà phê vị sầu riêng Nonla 8 viên,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA RETINOL REJUVENATING EYE CREAM",149.861,lanbena,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA RETINOL REJUVENATING EYE CREAM",168.38,lanbena,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA RETINOL REJUVENATING EYE CREAM",131.417,lanbena,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA VITAMIN C BRIGHTENING EYE CREAM",149.861,lanbena,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA VITAMIN C BRIGHTENING EYE CREAM",131.417,lanbena,100
"Kem dưỡng dành cho vùng da xung quanh mắt,..LANBENA VITAMIN C BRIGHTENING EYE CREAM",168.38,lanbena,100
"Kem dưỡng giúp cung cấp độ ẩm cho da và làm sáng da, LANBENA VITAMIN C BRIGHTENING CREAM",149.861,lanbena,100
Khăn ướt tini 20 tờ xanh,"7.407,41",Khăn ướt tini,100
Koala 37g Dâu,"11.818,18",Bánh gấu Koala’s March vị dâu 37g,100
KẸO NGẬM HALLS MINT KHÔNG ĐƯỜNG - VỊ BẠC HÀ,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS MINT KHÔNG ĐƯỜNG - VỊ DƯA HẤU,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ BẠC HÀ,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ CHANH,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ COLA,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ DƯA HẤU,"18.518,51",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ DƯA HẤU,"18.518,52",kẹo ngậm halls,100
KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ MIXED BERRY,"18.518,52",kẹo ngậm halls,100
Kẹo Dẻo 3D Mix Vị Soda Và Trái Cây,13.5,kẹo dẻo mix vị,100
"Kẹo cứng Tứ quí túi 140g (8,4kg)","643.456,79",Kẹo Tứ Quý 140g,100
Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,"11.111,1",Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,100
Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,"11.111,2",Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,100
Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,"11.111,13",Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,100
Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,"11.111,12",Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,100
Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,11.111,Kẹo nhai MT Mê Ly 45 Túi x 35 Viên,100
Kẹo trà sữa hương vị hỗn hợp 200g/gói x 30 gói/thùng,25,Trà Sữa 200g,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,62.5,Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,61.937,Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,"62.453,5",Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,65.668,Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,"65.216,25",Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,62.454,Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,"62.454,75",Lăn khử mùi refre trà xanh 40ml,100
Lăn khử mùi trà xanh ( Refre Natural Green Tea ) 40ml,59.815,Lăn khử mùi refre trà xanh 40ml,100
